p, BER_min, BER_avg, BER_max
0.005, 0, 0, 2e-05
0.01, 6e-05, 7e-05, 7e-05
0.015, 0.00019, 0.00021, 0.00027
0.02, 0.00054, 0.00054, 0.00058
0.025, 0.00109, 0.00114, 0.00126
0.03, 0.00176, 0.00176, 0.0018
0.035, 0.00287, 0.00294, 0.00308
0.04, 0.00418, 0.00424, 0.00444
0.045, 0.00557, 0.0057, 0.00573
0.05, 0.00771, 0.00788, 0.008
0.055, 0.01057, 0.011, 0.01145
0.06, 0.01414, 0.01444, 0.01485
0.065, 0.01901, 0.01911, 0.01913
0.07, 0.02363, 0.02407, 0.02423
0.075, 0.02946, 0.02965, 0.02968
0.08, 0.03409, 0.0349, 0.03508
0.085, 0.04171, 0.04235, 0.04314
0.09, 0.04883, 0.0493, 0.04955
0.095, 0.05751, 0.05796, 0.0581
